Latitude,Longitude,Altitude,corrected_temperature,humidity_%,SourceFile
37.6965735,-121.7753685,134.38400000000001,25.23,37.28,Unit1_dataLog00058.TXT
37.6965735,-121.7754066,134.451,25.24049187,37.28,Unit1_dataLog00058.TXT
37.696572599999996,-121.77544929999999,134.409,25.23098374,37.11,Unit1_dataLog00058.TXT
37.6965721,-121.7754908,134.431,25.34147074,37.16,Unit1_dataLog00058.TXT
37.6965758,-121.7755306,134.325,25.331962609999998,36.9,Unit1_dataLog00058.TXT
37.696590799999996,-121.7755639,134.269,25.41245448,36.71,Unit1_dataLog00058.TXT
37.6966162,-121.77558599999999,133.953,25.44294148,36.55,Unit1_dataLog00058.TXT
37.6966451,-121.77559869999999,133.66,25.413433350000002,36.38,Unit1_dataLog00058.TXT
37.696674699999996,-121.7756076,133.701,25.39392522,36.32,Unit1_dataLog00058.TXT
37.6967058,-121.7756143,133.645,25.46441709,36.35,Unit1_dataLog00058.TXT
37.696739099999995,-121.77562019999999,133.662,25.55490409,36.14,Unit1_dataLog00058.TXT
37.6967765,-121.775627,133.739,25.61539596,36.14,Unit1_dataLog00058.TXT
37.6968189,-121.77563199999999,133.673,25.59588783,36.02,Unit1_dataLog00058.TXT
37.6968637,-121.77563359999999,133.608,25.6863797,36.21,Unit1_dataLog00058.TXT
37.696908,-121.7756338,133.497,25.6468667,36.12,Unit1_dataLog00058.TXT
37.696951299999995,-121.7756352,133.633,25.70735857,36.01,Unit1_dataLog00058.TXT
37.6969947,-121.7756368,133.782,25.797850439999998,35.97,Unit1_dataLog00058.TXT
37.6970382,-121.77563549999999,133.729,25.80833744,35.86,Unit1_dataLog00058.TXT
37.6970807,-121.7756313,133.702,25.82882931,35.67,Unit1_dataLog00058.TXT
37.6971212,-121.7756268,133.745,25.91932118,35.81,Unit1_dataLog00058.TXT
37.6971612,-121.7756218,133.695,25.95981305,35.66,Unit1_dataLog00058.TXT
37.6971997,-121.77561089999999,133.548,26.05030005,35.54,Unit1_dataLog00058.TXT
37.6971997,-121.7755524,133.529,26.090791919999997,35.32,Unit1_dataLog00058.TXT
37.6972509,-121.77551129999999,133.471,26.17156138,34.87,Unit1_dataLog00058.TXT
37.697260299999996,-121.77551129999999,133.488,26.12204838,34.42,Unit1_dataLog00058.TXT
37.6972695,-121.7754262,133.602,26.223017510000002,34.38,Unit1_dataLog00058.TXT
37.697313199999996,-121.77536099999999,133.241,26.26448825,33.84,Unit1_dataLog00058.TXT
37.6973327,-121.77535549999999,133.046,26.274980120000002,33.68,Unit1_dataLog00058.TXT
37.6973541,-121.7753525,133.046,26.365471990000003,33.63,Unit1_dataLog00058.TXT
37.6974002,-121.77535119999999,132.963,26.28643625,33.57,Unit1_dataLog00058.TXT
