Latitude,Longitude,Altitude,corrected_temperature,humidity_%,SourceFile
37.6649552,-121.7673178,167.666,35.57,21.89,unit3_dataLog00197.TXT
37.664956,-121.76746259999999,167.53300000000002,35.52971619,21.75,unit3_dataLog00197.TXT
37.664957199999996,-121.76759969999999,167.428,35.54943519,21.77,unit3_dataLog00197.TXT
37.664958,-121.7677233,167.386,35.79915138,21.73,unit3_dataLog00197.TXT
37.6649586,-121.7678263,167.374,35.94887038,21.7,unit3_dataLog00197.TXT
37.664960799999996,-121.7679043,167.498,35.95858657,21.55,unit3_dataLog00197.TXT
37.6649817,-121.7680056,167.592,36.09773795,21.34,unit3_dataLog00197.TXT
37.6649977,-121.7680314,167.425,36.09745695,21.25,unit3_dataLog00197.TXT
37.6650292,-121.7680577,167.263,36.07717314,21.21,unit3_dataLog00197.TXT
37.665078099999995,-121.76807649999999,167.144,36.15689214,21.21,unit3_dataLog00197.TXT
37.6651409,-121.7680867,166.9,36.13660833,21.21,unit3_dataLog00197.TXT
37.6652127,-121.7680924,166.93800000000002,36.09632452,21.22,unit3_dataLog00197.TXT
37.665289699999995,-121.7680953,166.897,36.04604352,21.21,unit3_dataLog00197.TXT
37.665370599999996,-121.7680977,166.752,36.03575971,21.23,unit3_dataLog00197.TXT
37.6654544,-121.76810069999999,166.668,35.915475900000004,21.25,unit3_dataLog00197.TXT
37.665541499999996,-121.7681037,166.578,35.8951949,21.34,unit3_dataLog00197.TXT
37.665632599999995,-121.76810649999999,166.55,36.00491109,21.41,unit3_dataLog00197.TXT
37.665729899999995,-121.7681089,166.616,36.10463009,21.46,unit3_dataLog00197.TXT
37.665833299999996,-121.76810979999999,166.524,36.24434628,21.43,unit3_dataLog00197.TXT
37.6659416,-121.76811029999999,166.56300000000002,36.344062470000004,21.37,unit3_dataLog00197.TXT
37.6660527,-121.76810959999999,166.523,36.29378147,21.37,unit3_dataLog00197.TXT
37.666165299999996,-121.7681076,166.423,36.343497660000004,21.31,unit3_dataLog00197.TXT
37.6663922,-121.76810649999999,166.136,36.373216660000004,21.28,unit3_dataLog00197.TXT
37.666504599999996,-121.76810859999999,166.131,36.45293285,21.15,unit3_dataLog00197.TXT
37.6666159,-121.7681111,166.072,36.382649040000004,21.08,unit3_dataLog00197.TXT
37.6667279,-121.76811459999999,166.193,36.29236804,21.17,unit3_dataLog00197.TXT
37.6668412,-121.76811819999999,166.168,36.342084230000005,21.19,unit3_dataLog00197.TXT
37.6669555,-121.7681221,166.084,36.36180323,21.11,unit3_dataLog00197.TXT
37.6670711,-121.76812439999999,165.951,36.511519420000006,21.1,unit3_dataLog00197.TXT
37.6671881,-121.7681247,166.006,36.501235609999995,20.98,unit3_dataLog00197.TXT
37.667307099999995,-121.768124,166.05100000000002,36.580954610000006,20.95,unit3_dataLog00197.TXT
